det_start,det_stop,modulation_0 - frequency,photon count
60000.0,61000.0,500000,5598.595118417685
81000.0,82000.0,600000,5598.598626415825
102000.0,103000.0,700000,5598.665893017203
123000.0,124000.0,705000,4053.2926553348725
144000.0,145000.0,710000,3104.39363935966
165000.0,166000.0,714000,3712.529430928082
186000.0,187000.0,716000,4428.041804174012
207000.0,208000.0,718000,5292.353737444953
228000.0,229000.0,720000,5598.667340765251
249000.0,250000.0,750000,5598.610295886838
270000.0,271000.0,850000,5598.58500545017
